"Representative Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,8,Republican,House: 1997-Present
"Representative Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,1,Democratic,House: 1997-2019
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,House: 1993-2017
"Representative Brown, Henry E., Jr.",https://www.congress.gov/member/henry-brown/B001235,South Carolina,1,Republican,House: 2001-2011
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,Senate: 2007-Present | House: 1993-2007
"Representative Brown-Waite, Ginny",https://www.congress.gov/member/ginny-brown-waite/B001247,Florida,5,Republican,House: 2003-2011
"Representative Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,26,Republican,House: 2003-Present
"Representative Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,5,Republican,House: 1983-2013
"Representative Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,North Carolina,1,Democratic,House: 2004-Present
"Representative Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Indiana,4,Republican,House: 1993-2011
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,House: 1993-Present
"Representative Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,4,Republican,House: 1991-2015
"Representative Campbell, John",https://www.congress.gov/member/john-campbell/C001064,California,45,Republican,House: 2005-2015
"Representative Cannon, Chris",https://www.congress.gov/member/chris-cannon/C000116,Utah,3,Republican,House: 1997-2009
"Representative Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Virginia,7,Republican,House: 2001-2014
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,West Virginia,,Republican,Senate: 2015-Present | House: 2001-2015
"Representative Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,24,Democratic,House: 1997-2017
"Representative Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,7,Democratic,House: 1999-2019
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,Senate: 2007-Present | House: 1987-2007
"Representative Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,California,18,Democratic,House: 2003-2012
"Representative Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Missouri,3,Democratic,House: 2005-2013
"Representative Carson, Julia",https://www.congress.gov/member/julia-carson/C000191,Indiana,7,Democratic,House: 1997-2007
"Representative Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Texas,31,Republican,House: 2003-Present
"Representative Case, Ed",https://www.congress.gov/member/ed-case/C001055,Hawaii,1,Democratic,"House: 2002-2007, 2019-Present"
"Representative Castle, Michael N.",https://www.congress.gov/member/michael-castle/C000243,Delaware,,Republican,House: 1993-2011
"Representative Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Ohio,1,Republican,"House: 1995-2009, 2011-Present"
"Representative Chandler, Ben",https://www.congress.gov/member/ben-chandler/C001058,Kentucky,6,Democratic,House: 2004-2013
"Representative Chocola, Chris",https://www.congress.gov/member/chris-chocola/C001052,Indiana,2,Republican,House: 2003-2007
"Representative Christensen, Donna M.",https://www.congress.gov/member/donna-christensen/C000380,Virgin Islands,,Democratic,House: 1997-2015
"Representative Clay, Wm. Lacy",https://www.congress.gov/member/wm-clay/C001049,Missouri,1,Democratic,House: 2001-Present
"Representative Cleaver, Emanuel",https://www.congress.gov/member/emanuel-cleaver/C001061,Missouri,5,Democratic,House: 2005-Present
"Representative Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,South Carolina,6,Democratic,House: 1993-Present
"Representative Coble, Howard",https://www.congress.gov/member/howard-coble/C000556,North Carolina,6,Republican,House: 1985-2015
"Representative Cole, Tom",https://www.congress.gov/member/tom-cole/C001053,Oklahoma,4,Republican,House: 2003-Present
"Representative Conaway, K. Michael",https://www.congress.gov/member/k-conaway/C001062,Texas,11,Republican,House: 2005-Present
"Representative Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Michigan,13,Democratic,House: 1965-2017
"Representative Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,"House: 1983-1995, 2003-Present"
"Representative Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,California,16,Democratic,House: 2005-Present
"Representative Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Illinois,12,Democratic,House: 1987-2013
"Representative Cox, Christopher",https://www.congress.gov/member/christopher-cox/C000830,California,48,Republican,House: 1989-2007
"Representative Cramer, Robert E. (Bud), Jr.",https://www.congress.gov/member/robert-cramer/C000868,Alabama,5,Democratic,House: 1991-2009
"Representative Crenshaw, Ander",https://www.congress.gov/member/ander-crenshaw/C001045,Florida,4,Republican,House: 2001-2017
"Representative Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,New York,14,Democratic,House: 1999-2019
"Representative Cubin, Barbara",https://www.congress.gov/member/barbara-cubin/C000962,Wyoming,,Republican,House: 1995-2009
"Representative Cuellar, Henry",https://www.congress.gov/member/henry-cuellar/C001063,Texas,28,Democratic,House: 2005-Present
"Representative Culberson, John Abney",https://www.congress.gov/member/john-culberson/C001048,Texas,7,Republican,House: 2001-2019
"Representative Cummings, Elijah E.",https://www.congress.gov/member/elijah-cummings/C000984,Maryland,7,Democratic,House: 1995-Present
"Representative Cunningham, Randy (Duke)",https://www.congress.gov/member/randy-cunningham/C000994,California,50,Republican,House: 1991-2007
"Representative Davis, Artur",https://www.congress.gov/member/artur-davis/D000602,Alabama,7,Democratic,House: 2003-2011
"Representative Davis, Danny K.",https://www.congress.gov/member/danny-davis/D000096,Illinois,7,Democratic,House: 1997-Present
"Representative Davis, Geoff",https://www.congress.gov/member/geoff-davis/D000603,Kentucky,4,Republican,House: 2005-2012
"Representative Davis, Jim",https://www.congress.gov/member/jim-davis/D000114,Florida,11,Democratic,House: 1997-2007
"Representative Davis, Jo Ann",https://www.congress.gov/member/jo-ann-davis/D000597,Virginia,1,Republican,House: 2001-2007
"Representative Davis, Lincoln",https://www.congress.gov/member/lincoln-davis/D000599,Tennessee,4,Democratic,House: 2003-2011
"Representative Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,California,53,Democratic,House: 2001-Present
"Representative Davis, Tom",https://www.congress.gov/member/thomas-davis/D000136,Virginia,11,Republican,House: 1995-2008
"Representative Deal, Nathan",https://www.congress.gov/member/nathan-deal/D000168,Georgia,9,Republican,House: 1993-2010
"Representative DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Oregon,4,Democratic,House: 1987-Present
"Representative DeGette, Diana",https://www.congress.gov/member/diana-degette/D000197,Colorado,1,Democratic,House: 1997-Present
"Representative Delahunt, Bill",https://www.congress.gov/member/bill-delahunt/D000210,Massachusetts,10,Democratic,House: 1997-2011
"Representative DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Connecticut,3,Democratic,House: 1991-Present
"Representative DeLay, Tom",https://www.congress.gov/member/tom-delay/D000217,Texas,22,Republican,House: 1985-2007
"Representative Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Pennsylvania,15,Republican,House: 2005-2018
"Representative Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Florida,21,Republican,House: 1993-2011
